frame,throttle,steer,brake
63812,0.0,0.0,0.0
63813,0.0,0.0,0.0
63814,0.699999988079071,0.00023182290897239,0.0
63815,0.699999988079071,0.00023197740665636957,0.0
63816,0.699999988079071,0.00023210614745039493,0.0
63817,0.699999988079071,0.00022794192773289979,0.0
63818,0.699999988079071,0.00022648352023679763,0.0
63819,0.699999988079071,0.0002239258901681751,0.0
63820,0.699999988079071,0.00022087902470957488,0.0
63821,0.699999988079071,0.00021943986939731985,0.0
63822,0.699999988079071,0.0002190487430198118,0.0
63823,0.699999988079071,0.00021651023416779935,0.0
63824,0.699999988079071,0.000214506930205971,0.0
63825,0.699999988079071,0.00021411222405731678,0.0
63826,0.699999988079071,0.00021318036306183785,0.0
63827,0.699999988079071,0.00021222441864665598,0.0
63828,0.699999988079071,0.00021075457334518433,0.0
63829,0.699999988079071,0.00021140712487976998,0.0
63830,0.699999988079071,0.0002110100322170183,0.0
63831,0.699999988079071,0.00021061247389297932,0.0
63832,0.699999988079071,0.00020967787713743746,0.0
63833,0.699999988079071,0.0002087654429487884,0.0
63834,0.699999988079071,0.00020838892669416964,0.0
63835,0.699999988079071,0.00020796638273168355,0.0
63836,0.699999988079071,0.0002075436059385538,0.0
63837,0.699999988079071,0.00020767987007275224,0.0
63838,0.699999988079071,0.00020779341866727918,0.0
63839,0.699999988079071,0.00020900303206872195,0.0
63840,0.699999988079071,0.0002080438134726137,0.0
63841,0.699999988079071,0.00020762074564117938,0.0
63842,0.699999988079071,0.00020775663142558187,0.0
63843,0.699999988079071,0.0002084292791550979,0.0
63844,0.699999988079071,0.00020854282774962485,0.0
63845,0.699999988079071,0.00020814240269828588,0.0
63846,0.699999988079071,0.00020935165230184793,0.0
63847,0.699999988079071,0.0002084149164147675,0.0
63848,0.699999988079071,0.00020752250566147268,0.0
63849,0.699999988079071,0.0002088214096147567,0.0
63850,0.699999988079071,0.00020953941566403955,0.0
63851,0.699999988079071,0.00020969838078599423,0.0
63852,0.699999988079071,0.000210394078749232,0.0
63853,0.699999988079071,0.00020842903177253902,0.0
63854,0.699999988079071,0.00020690947712864727,0.0
63855,0.699999988079071,0.00020755785226356238,0.0
63856,0.699999988079071,0.00020925735589116812,0.0
63857,0.699999988079071,0.00020934772328473628,0.0
63858,0.699999988079071,0.00021051120711490512,0.0
63859,0.699999988079071,0.00021116137213539332,0.0
63860,0.699999988079071,0.00021073859534226358,0.0
63861,0.699999988079071,0.00021136605937499553,0.0
63862,0.699999988079071,0.0002115254319505766,0.0
63863,0.699999988079071,0.00021163928613532335,0.0
63864,0.699999988079071,0.00021126192586962134,0.0
63865,0.699999988079071,0.00021086150081828237,0.0
63866,0.699999988079071,0.00021046071196906269,0.0
63867,0.699999988079071,0.000210037047509104,0.0
63868,0.699999988079071,0.00020907657744828612,0.0
63869,0.699999988079071,0.00020921105169691145,0.0
63870,0.699999988079071,0.00022649495804216713,0.0
63871,0.699999988079071,0.00028725469019263983,0.0
63872,0.699999988079071,0.00039370369631797075,0.0
63873,0.699999988079071,0.0005297988536767662,0.0
63874,0.699999988079071,0.0006444014143198729,0.0
63875,0.699999988079071,0.0008192462846636772,0.0
63876,0.699999988079071,0.0010054776212200522,0.0
63877,0.699999988079071,0.001134407939389348,0.0
63878,0.699999988079071,0.0013138717040419579,0.0
63879,0.699999988079071,0.0015154584543779492,0.0
63880,0.699999988079071,0.001626122510060668,0.0
63881,0.699999988079071,0.0017886135028675199,0.0
63882,0.699999988079071,0.0019108671694993973,0.0
63883,0.699999988079071,0.002156556583940983,0.0
63884,0.699999988079071,0.0023039132356643677,0.0
63885,0.699999988079071,0.002357234014198184,0.0
63886,0.699999988079071,0.002502070041373372,0.0
63887,0.699999988079071,0.0025163262616842985,0.0
63888,0.699999988079071,0.002607575850561261,0.0
63889,0.699999988079071,0.002698329044505954,0.0
63890,0.699999988079071,0.002692300593480468,0.0
